bid_winner,bidders,order_value,tendor_bid_close_date,tendor_discription,tendor_issue_date,tendor_no,tendor_submission_date
AV VALVES LIMITED,"[{'S.no': '1', 'Vendor_code': '3636', 'Vendor_name': 'STEEL STRONG VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3640', 'Vendor_name': 'FLOTEK INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3705', 'Vendor_name': 'NUTECH CONTROLS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3709', 'Vendor_name': 'JMD ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3749', 'Vendor_name': 'G M VALVE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3764', 'Vendor_name': 'VITON ENGINEERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3933', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '3957', 'Vendor_name': 'KUMARS FORGE AND VALVES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'A018', 'Vendor_name': 'AV VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'A288', 'Vendor_name': 'ASSOCIATED TOOLINGS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'E211', 'Vendor_name': 'EXPERT VALVE AND EQUIPMENT PRIVATE LIMIT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'K088', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '15', 'Vendor_code': 'N016', 'Vendor_name': 'NITON VALVE INDUSTRIES PRIVATE LTD .', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'O035', 'Vendor_name': 'OSWAL INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'P199', 'Vendor_name': 'PANCHVATI VALVES & FLANGES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",2769646 INR,26-10-2021,VALVES- GATE/ GLOBE/ CHECK (SMALL & BIG BORE),12-10-2021,B390-000-WB-MR-3111/32,07-FEB-2022
NUTECH CONTROLS,"[{'S.no': '1', 'Vendor_code': '3636', 'Vendor_name': 'STEEL STRONG VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3640', 'Vendor_name': 'FLOTEK INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '3705', 'Vendor_name': 'NUTECH CONTROLS', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '3709', 'Vendor_name': 'JMD ENGINEERING', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '3749', 'Vendor_name': 'G M VALVE PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': '3764', 'Vendor_name': 'VITON ENGINEERS PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '7', 'Vendor_code': '3817', 'Vendor_name': 'HI TECH BUTTERFLY VALVES INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '8', 'Vendor_code': '3933', 'Vendor_name': 'LEADER VALVES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '9', 'Vendor_code': '3957', 'Vendor_name': 'KUMARS FORGE AND VALVES PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '10', 'Vendor_code': 'A018', 'Vendor_name': 'AV VALVES LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '11', 'Vendor_code': 'A288', 'Vendor_name': 'ASSOCIATED TOOLINGS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '12', 'Vendor_code': 'E211', 'Vendor_name': 'EXPERT VALVE AND EQUIPMENT PRIVATE LIMIT', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '13', 'Vendor_code': 'H108', 'Vendor_name': 'HAWA ENGINEERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '14', 'Vendor_code': 'K088', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '15', 'Vendor_code': 'N016', 'Vendor_name': 'NITON VALVE INDUSTRIES PRIVATE LTD .', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '16', 'Vendor_code': 'O035', 'Vendor_name': 'OSWAL INDUSTRIES LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '17', 'Vendor_code': 'P199', 'Vendor_name': 'PANCHVATI VALVES & FLANGES PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '18', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",5222290.98 INR,26-10-2021,VALVES- GATE/ GLOBE/ CHECK (SMALL & BIG BORE),12-10-2021,B390-000-WB-MR-3111/32,08-FEB-2022
BENTLEY SYSTEMS INDIA PVT LTD,"[{'S.no': '1', 'Vendor_code': '~1720', 'Vendor_name': 'BENTLEY SYSTEMS INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",32161510.82 INR,08-11-2021,Renewal of AMC for Bentley Software Licenses,22-10-2021,8516-000-00-MR-8996/67,12-JAN-2022
HEXAGON CAPABILITY CENTRE INDIA PVT LTD,"[{'S.no': '1', 'Vendor_code': '81567', 'Vendor_name': 'HEXAGON CAPABILITY CENTRE INDIA PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",7600979.36 INR,30-11-2021,Renewal of Annual Maintenance Contract(AMC) for Smart Plant Instrumentation (SPI) Software,12-11-2021,8516-000-00-MR-8995/68,21-JAN-2022
RR Enterprise,"[{'S.no': '1', 'Vendor_code': '57596', 'Vendor_name': 'RR Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57597', 'Vendor_name': 'Landmark IPL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57598', 'Vendor_name': 'Maa Laxmi Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57599', 'Vendor_name': 'S.R Construction', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57600', 'Vendor_name': 'Sunrise Movers', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}]",8061644 INR,16-11-2021,Dump-site  Management Linepipe for DDHPL Project,20-10-2021,S.M/B035-000-TM-TN-9525/1021,13-JAN-2022
Landmark IPL,"[{'S.no': '1', 'Vendor_code': '57596', 'Vendor_name': 'RR Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57597', 'Vendor_name': 'Landmark IPL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57598', 'Vendor_name': 'Maa Laxmi Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57599', 'Vendor_name': 'S.R Construction', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57600', 'Vendor_name': 'Sunrise Movers', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}]",19355000 INR,16-11-2021,Dump-site  Management Linepipe for DDHPL Project,20-10-2021,S.M/B035-000-TM-TN-9525/1021,13-JAN-2022
Landmark IPL,"[{'S.no': '1', 'Vendor_code': '57596', 'Vendor_name': 'RR Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57597', 'Vendor_name': 'Landmark IPL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57598', 'Vendor_name': 'Maa Laxmi Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57599', 'Vendor_name': 'S.R Construction', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57600', 'Vendor_name': 'Sunrise Movers', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}]",25263515 INR,16-11-2021,Dump-site  Management Linepipe for DDHPL Project,20-10-2021,S.M/B035-000-TM-TN-9525/1021,28-JAN-2022
Landmark IPL,"[{'S.no': '1', 'Vendor_code': '57596', 'Vendor_name': 'RR Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '57597', 'Vendor_name': 'Landmark IPL', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': '57598', 'Vendor_name': 'Maa Laxmi Enterprise', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': '57599', 'Vendor_name': 'S.R Construction', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': '57600', 'Vendor_name': 'Sunrise Movers', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'No'}]",23057960 INR,16-11-2021,Dump-site  Management Linepipe for DDHPL Project,20-10-2021,S.M/B035-000-TM-TN-9525/1021,13-JAN-2022
ZEECO INDIA PVT. LTD,"[{'S.no': '1', 'Vendor_code': '81882', 'Vendor_name': 'Mobile Communications(India)Pvt. Ltd', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82225', 'Vendor_name': 'ECONOMY PROCESS SOLUTIONS PRIVATE LIMITE', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'B215', 'Vendor_name': 'BEEKAY ENGINEERING CORPORATION', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'I196', 'Vendor_name': 'ISHAN EQUIPMENTS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '5', 'Vendor_code': 'M300', 'Vendor_name': 'MP ENGINEERING CONSTRUCTIONS (I) PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': '~1687', 'Vendor_name': 'ZEECO INDIA PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",403982000 INR,04-08-2021,Vapour Recovery System,10-05-2021,B229-000-LZ-MR-4570/21,14-JAN-2022
KIRLOSKAR BROTHERS LTD,"[{'S.no': '1', 'Vendor_code': 'K001', 'Vendor_name': 'KISHOR PUMPS PVT LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': 'K003', 'Vendor_name': 'KIRLOSKAR BROTHERS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",32105846 INR,15-11-2021,Centrifugal-Horz/ VerticaGPP,08-10-2021,B015-000-PA-MR-5260/132,14-JAN-2022
KIRLOSKAR EBARA PUMPS LTD,"[{'S.no': '1', 'Vendor_code': '3629', 'Vendor_name': 'RUHRPUMPEN INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'F156', 'Vendor_name': 'FLOWSERVE INDIA CONTROLS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'K018', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'K087', 'Vendor_name': 'KIRLOSKAR EBARA PUMPS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'S401', 'Vendor_name': 'SULZER PUMPS INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",50804802 INR,10-05-2021,PUMP-CENTRIFUGAL.HORIZONTAL (SPECIAL PURPOSE PROCESS),05-03-2021,B229-000-PA-MR-5630/70,09-DEC-2021
KSB LIMITED,"[{'S.no': '1', 'Vendor_code': '3629', 'Vendor_name': 'RUHRPUMPEN INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'F156', 'Vendor_name': 'FLOWSERVE INDIA CONTROLS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'K018', 'Vendor_name': 'KSB LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'K087', 'Vendor_name': 'KIRLOSKAR EBARA PUMPS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'S401', 'Vendor_name': 'SULZER PUMPS INDIA PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",40448921.99 INR,10-05-2021,PUMP-CENTRIFUGAL.HORIZONTAL (SPECIAL PURPOSE PROCESS),05-03-2021,B229-000-PA-MR-5630/70,09-DEC-2021
WOODFIELD SYSTEMS INTERNATIONAL PVT. LTD,"[{'S.no': '1', 'Vendor_code': '3768', 'Vendor_name': 'FERRO TUBE & FORGE INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': '3775', 'Vendor_name': 'TECHNIKA', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'D274', 'Vendor_name': 'DOVER INDIA PVT. LTD. (OPW DIVISION)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'W67', 'Vendor_name': 'WOODFIELD SYSTEMS INTERNATIONAL PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",3751560 INR,23-07-2021,LOADING ARMS (RAIL/ROAD),17-06-2021,B229-000-LL-MR-4560/20,17-DEC-2021
JINDAL SAW LTD (GROUP),"[{'S.no': '1', 'Vendor_code': '82159', 'Vendor_name': 'THE MAITRI METALS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82160', 'Vendor_name': 'ASHTAVINAYAK TUBES INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'H086', 'Vendor_name': 'HEAVY METAL AND TUBES (INDIA) PRIVATE LI', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'J110', 'Vendor_name': 'JINDAL SAW LTD (GROUP)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L127', 'Vendor_name': 'LAL BABA SEAMLESS TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",304600154 INR,06-04-2021,"PIPE (SEAMLESS): CS,CS (G ALV.) & LTCS",24-02-2021,B229-000-WA-MR-3201/61,15-DEC-2021
MAHARASHTRA SEAMLESS LTD.,"[{'S.no': '1', 'Vendor_code': '82159', 'Vendor_name': 'THE MAITRI METALS PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '2', 'Vendor_code': '82160', 'Vendor_name': 'ASHTAVINAYAK TUBES INDUSTRIES', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '3', 'Vendor_code': 'H086', 'Vendor_name': 'HEAVY METAL AND TUBES (INDIA) PRIVATE LI', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '4', 'Vendor_code': 'J110', 'Vendor_name': 'JINDAL SAW LTD (GROUP)', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'L127', 'Vendor_name': 'LAL BABA SEAMLESS TUBES PVT. LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}, {'S.no': '6', 'Vendor_code': 'M187A', 'Vendor_name': 'MAHARASHTRA SEAMLESS LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",321355212.41 INR,06-04-2021,"PIPE (SEAMLESS): CS,CS (G ALV.) & LTCS",24-02-2021,B229-000-WA-MR-3201/61,15-DEC-2021
NEW FIRE ENGINEERS (P) LTD,"[{'S.no': '1', 'Vendor_code': 'N075', 'Vendor_name': 'NEW FIRE ENGINEERS (P) LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",7425000 INR,09-09-2021,FIRE ALARM SYSTEM,19-08-2021,B015-000-XN-MR-0490/129,23-DEC-2021
CHHABI ELECTRICALS PVT LIMITED,"[{'S.no': '1', 'Vendor_code': 'C043', 'Vendor_name': 'CHHABI ELECTRICALS PVT LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'H132', 'Vendor_name': 'HBL POWER SYSTEMS LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'U021', 'Vendor_name': 'UNIVERSAL INSTRUMENT MFG CO PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}]",41469649.78 INR,01-07-2021,"BATTERIES-NICKEL CADMIUM, BATTERY CHARGERS",27-05-2021,B229-000-XH-MR-0432/73,17-DEC-2021
Anderson Greenwood Crosby Sanmar Limited,"[{'S.no': '1', 'Vendor_code': '3774', 'Vendor_name': 'UNI KLINGER LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B110', 'Vendor_name': 'BLISS ANAND PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'F103', 'Vendor_name': 'FAINGER LESER VALVES (P) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'N088', 'Vendor_name': 'NIRMAL  INDUSTRIAL CONTROL PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T181', 'Vendor_name': 'Anderson Greenwood Crosby Sanmar Limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",1787690 INR,15-04-2021,Pressure Relief Valves,09-03-2021,B229-000-YR-MR-1360/68,30-DEC-2021
NIRMAL  INDUSTRIAL CONTROL PVT. LTD.,"[{'S.no': '1', 'Vendor_code': '3774', 'Vendor_name': 'UNI KLINGER LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B110', 'Vendor_name': 'BLISS ANAND PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'F103', 'Vendor_name': 'FAINGER LESER VALVES (P) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'N088', 'Vendor_name': 'NIRMAL  INDUSTRIAL CONTROL PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T181', 'Vendor_name': 'Anderson Greenwood Crosby Sanmar Limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",310818 INR,15-04-2021,Pressure Relief Valves,09-03-2021,B229-000-YR-MR-1360/68,30-DEC-2021
FAINGER LESER VALVES (P) LTD.,"[{'S.no': '1', 'Vendor_code': '3774', 'Vendor_name': 'UNI KLINGER LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B110', 'Vendor_name': 'BLISS ANAND PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'F103', 'Vendor_name': 'FAINGER LESER VALVES (P) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'N088', 'Vendor_name': 'NIRMAL  INDUSTRIAL CONTROL PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T181', 'Vendor_name': 'Anderson Greenwood Crosby Sanmar Limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",885792 INR,15-04-2021,Pressure Relief Valves,09-03-2021,B229-000-YR-MR-1360/68,30-DEC-2021
UNI KLINGER LIMITED,"[{'S.no': '1', 'Vendor_code': '3774', 'Vendor_name': 'UNI KLINGER LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B110', 'Vendor_name': 'BLISS ANAND PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'F103', 'Vendor_name': 'FAINGER LESER VALVES (P) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'N088', 'Vendor_name': 'NIRMAL  INDUSTRIAL CONTROL PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T181', 'Vendor_name': 'Anderson Greenwood Crosby Sanmar Limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",62480 INR,15-04-2021,Pressure Relief Valves,09-03-2021,B229-000-YR-MR-1360/68,30-DEC-2021
BLISS ANAND PVT LTD,"[{'S.no': '1', 'Vendor_code': '3774', 'Vendor_name': 'UNI KLINGER LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '2', 'Vendor_code': 'B110', 'Vendor_name': 'BLISS ANAND PVT LTD', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '3', 'Vendor_code': 'F103', 'Vendor_name': 'FAINGER LESER VALVES (P) LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '4', 'Vendor_code': 'N088', 'Vendor_name': 'NIRMAL  INDUSTRIAL CONTROL PVT. LTD.', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '5', 'Vendor_code': 'T181', 'Vendor_name': 'Anderson Greenwood Crosby Sanmar Limited', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': 'Yes'}, {'S.no': '6', 'Vendor_code': 'W092', 'Vendor_name': 'SWIMS TECHNOLOGIES PRIVATE LIMITED', 'reply_status': 'Quoted', 'Qualified After Technical Evaluation': ''}]",1524176.54 INR,15-04-2021,Pressure Relief Valves,09-03-2021,B229-000-YR-MR-1360/68,30-DEC-2021
